*----------------------------------------------------------------------------
* Output table number  :  0 (=first output table)
* Output table format  : Spreadsheet output
* Simulation results
* LINTUL2_N with adaptation to N-Limitation
 
TIME	WAI	DVS	TSUM	TAGBM	WST	WLVG	WLVD	WSO	LAI	NTAC	WRT	GTSUM	CBALAN	TRANRF	NNI	SLA	FRACT	FRTWET	FLVT	FSTT	FSOT	RWLVG	RWST	RWRT	RWSO	CUMPAR	LUECAL	NUPTT	TTRAN	TEVAP	PEVAP	NBALAN	WATBAL	NUPTR	TNSOIL	NDEMTO	RNSOIL	FERTN	FERTNS	WA	TIRRIG	TRAIN	TEXPLO	TRUNOF	TDRAIN
 
   1.00000    	  40.000    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    	       -    
   1.00000    	       -    	  0.0000    	  0.0000    	  2.4000    	  0.0000    	  2.4000    	  0.0000    	  0.0000    	 5.28000E-02	 6.00000E-02	  3.6000    	  0.0000    	  0.0000    	  1.0000    	  0.0000    	 8.09335E-03	  1.0000    	 0.60000    	 0.40000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 0.19493    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  40.000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    
   2.00000    	       -    	  0.0000    	  0.0000    	  2.4000    	  0.0000    	  2.4000    	  0.0000    	  0.0000    	 5.28000E-02	 6.00000E-02	  3.6000    	  0.0000    	  0.0000    	  1.0000    	  0.0000    	 8.09335E-03	  1.0000    	 0.60000    	 0.40000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 0.27000    	  0.0000    	  0.0000    	 4.95527E-03	 0.19493    	 0.24630    	  0.0000    	-4.23752E-07	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  40.000    	  0.0000    	  10.800    	  0.0000    	  0.0000    	  10.600    
   3.00000    	       -    	  0.0000    	  0.0000    	  2.4000    	  0.0000    	  2.4000    	  0.0000    	  0.0000    	 5.28000E-02	 6.00000E-02	  3.6000    	  0.0000    	  0.0000    	  1.0000    	  0.0000    	 8.09335E-03	  1.0000    	 0.60000    	 0.40000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 0.77000    	  0.0000    	  0.0000    	 1.11470E-02	 0.44123    	 0.33860    	  0.0000    	-4.23286E-07	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  40.000    	 1.04774E-07	  16.000    	  0.0000    	  0.0000    	  15.548    
   4.00000    	       -    	  0.0000    	  0.0000    	  2.4000    	  0.0000    	  2.4000    	  0.0000    	  0.0000    	 5.28000E-02	 6.00000E-02	  3.6000    	  0.0000    	  0.0000    	  1.0000    	  0.0000    	 8.09335E-03	  1.0000    	 0.60000    	 0.40000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  2.1400    	  0.0000    	  0.0000    	 1.91435E-02	 0.77983    	 0.20073    	  0.0000    	 9.86736E-07	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  40.000    	 1.04774E-07	  17.300    	  0.0000    	  0.0000    	  16.501    
   5.00000    	       -    	  0.0000    	  0.0000    	  2.4000    	  0.0000    	  2.4000    	  0.0000    	  0.0000    	 5.28000E-02	 6.00000E-02	  3.6000    	  0.0000    	  0.0000    	  1.0000    	  0.0000    	 8.09335E-03	  1.0000    	 0.60000    	 0.40000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  2.7600    	  0.0000    	  0.0000    	 2.39803E-02	 0.98056    	 0.74508    	  0.0000    	 8.86153E-07	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  40.000    	 1.04774E-07	  24.900    	  0.0000    	  0.0000    	  23.895    
   6.00000    	       -    	  0.0000    	  0.0000    	  2.4000    	  0.0000    	  2.4000    	  0.0000    	  0.0000    	 5.28000E-02	 6.00000E-02	  3.6000    	  0.0000    	  0.0000    	  1.0000    	  0.0000    	 8.09335E-03	  1.0000    	 0.60000    	 0.40000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  3.7950    	  0.0000    	  0.0000    	 4.28833E-02	  1.7256    	 0.41938    	  0.0000    	 1.73552E-06	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  40.000    	 1.04774E-07	  32.100    	  0.0000    	  0.0000    	  30.331    
   7.00000    	       -    	  0.0000    	  0.0000    	  2.4000    	  0.0000    	  2.4000    	  0.0000    	  0.0000    	 5.28000E-02	 6.00000E-02	  3.6000    	  0.0000    	  0.0000    	  1.0000    	  0.0000    	 8.09335E-03	  1.0000    	 0.60000    	 0.40000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  4.5700    	  0.0000    	  0.0000    	 5.34206E-02	  2.1450    	 0.14783    	  0.0000    	 4.01866E-07	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  40.000    	 1.04774E-07	  33.800    	  0.0000    	  0.0000    	  31.602    
   8.00000    	       -    	  0.0000    	  0.0000    	  2.4000    	  0.0000    	  2.4000    	  0.0000    	  0.0000    	 5.28000E-02	 6.00000E-02	  3.6000    	  0.0000    	  0.0000    	  1.0000    	  0.0000    	 8.09335E-03	  1.0000    	 0.60000    	 0.40000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  5.3850    	  0.0000    	  0.0000    	 5.68085E-02	  2.2062    	 0.18869    	  0.0000    	 4.65661E-07	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	  40.000    	 6.46210E-02	  33.800    	  0.0000    	  0.0000    	  31.602    
